iri,label,definition,type,parent_iri
https://w3id.org/gcdfo/salmon#AerialSurveyCount,Aerial Survey Count,"Overflights (helicopter, fixed wing, or drone) with documented flight lines, coverage, visibility, and sensor settings. Imagery may be reviewed post-flight.",skos_concept,https://w3id.org/gcdfo/salmon#EnumerationMethod
https://w3id.org/gcdfo/salmon#Age1YearClass,Age 1 year class,Age class value 1 year.,skos_concept,https://w3id.org/gcdfo/salmon#AgeClassValue
https://w3id.org/gcdfo/salmon#Age2YearClass,Age 2 year class,Age class value 2 years.,skos_concept,https://w3id.org/gcdfo/salmon#AgeClassValue
https://w3id.org/gcdfo/salmon#Age3YearClass,Age 3 year class,Age class value 3 years.,skos_concept,https://w3id.org/gcdfo/salmon#AgeClassValue
https://w3id.org/gcdfo/salmon#Age4YearClass,Age 4 year class,Age class value 4 years.,skos_concept,https://w3id.org/gcdfo/salmon#AgeClassValue
https://w3id.org/gcdfo/salmon#Age5YearClass,Age 5 year class,Age class value 5 years.,skos_concept,https://w3id.org/gcdfo/salmon#AgeClassValue
https://w3id.org/gcdfo/salmon#Age6YearClass,Age 6 year class,Age class value 6 years.,skos_concept,https://w3id.org/gcdfo/salmon#AgeClassValue
https://w3id.org/gcdfo/salmon#Age7YearClass,Age 7 year class,Age class value 7 years.,skos_concept,https://w3id.org/gcdfo/salmon#AgeClassValue
https://w3id.org/gcdfo/salmon#AgeAtMaturityBasis,Age at maturity basis,Age measured at maturity.,skos_concept,https://w3id.org/gcdfo/salmon#AgeBasis
https://w3id.org/gcdfo/salmon#AgeAtReturnBasis,Age at return basis,Age measured at return migration (adult return timing).,skos_concept,https://w3id.org/gcdfo/salmon#AgeBasis
https://w3id.org/gcdfo/salmon#AgeAtSamplingBasis,Age at sampling basis,Age measured at the time of sampling or observation.,skos_concept,https://w3id.org/gcdfo/salmon#AgeBasis
https://w3id.org/gcdfo/salmon#AgeBasis,Age basis,The reference event or life-history point that an age value is measured against.,skos_concept,
